,crn,subject,course,section,title,instructor,dates,seats,waitlist
1,36057,C S,1213,10,Programming with Python,"Chekuri, Omkar Saiswaroop Varma",Jan 13 - May 2,9 out of 120,No Wait List
2,36059,C S,1213,11,Lab-C S 1213-010,"Maliha, Maisha",Jan 13 - May 2,9 out of 60,0 Waiting
3,17628,C S,1313,10,Program for Non-Majors with C,"Neeman, Henry",Jan 13 - May 2,7 out of 160,No Wait List
4,17631,C S,1313,11,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,5 out of 40,0 Waiting
5,17632,C S,1313,12,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,1 out of 40,0 Waiting
6,17633,C S,1313,13,Disc-C S 1313-010,"Basiri, Mohammad Amin",Jan 13 - May 2,1 out of 40,0 Waiting
7,36230,C S,1321,100,Java for Programmers,"Banweer, Keerti",Jan 13 - Mar 7,14 out of 22,0 Waiting
8,32577,C S,1323,1,Intro. Prog. for Programmers,"Banweer, Keerti",Jan 13 - May 2,79 out of 120,0 Waiting
9,36159,C S,1324,10,Intro prog for non-programmers,"Trytten, Deborah",Jan 13 - May 2,37 out of 110,No Wait List
10,36161,C S,1324,11,Lab-C S 1324-010,"Peri, Aishwarya",Jan 13 - May 2,5 out of 30,0 Waiting
11,36162,C S,1324,12,Lab-C S 1324-010,"Vasireddy, Ujwala",Jan 13 - May 2,20 out of 40,0 Waiting
12,36163,C S,1324,13,Lab-C S 1324-010,"Peri, Aishwarya",Jan 13 - May 2,12 out of 40,0 Waiting
13,17639,C S,2334,1,Programming Struc/Abstractions,"Mudduluru, Sanjana",Jan 13 - May 2,37 out of 80,No Wait List
14,45814,C S,2334,2,Programming Struc/Abstractions,"Mudduluru, Sanjana",Jan 13 - May 2,4 out of 80,No Wait List
15,17640,C S,2334,11,Lab-C S 2334,"Islam, Farabee",Jan 13 - May 2,1 out of 40,0 Waiting
16,17641,C S,2334,12,Lab-C S 2334,"Islam, Farabee",Jan 13 - May 2,1 out of 40,0 Waiting
17,34610,C S,2334,13,Lab-C S 2334,"Gheibi, Reza",Jan 13 - May 2,13 out of 40,0 Waiting
18,44827,C S,2334,14,Lab-C S 2334,"Gheibi, Reza",Jan 13 - May 2,26 out of 40,0 Waiting
19,17642,C S,2413,1,Data Structures,"Radhakrishnan, Sridhar",Jan 13 - May 2,59 out of 180,0 Waiting
20,35765,C S,2614,10,Computer Organization,"Atiquzzaman, Mohammed",Jan 13 - May 2,13 out of 120,No Wait List
21,43646,C S,2614,11,Lab-C S 2614-010,"Atiquzzaman, Mohammed",Jan 13 - May 2,13 out of 120,0 Waiting
22,17651,C S,2813,1,Discrete Structures,"Lan, Chao",Jan 13 - May 2,37 out of 120,0 Waiting
23,47763,C S,2970,11,Data Structures Lab,"Radhakrishnan, Sridhar",Jan 13 - May 2,19 out of 30,No Wait List
24,39358,C S,3113,1,Intro to Operating Systems,"Radhakrishnan, Sridhar",Jan 13 - May 2,32 out of 120,0 Waiting
25,42489,C S,3203,1,Software Engineering,"Abdulhak, Mansoor",Jan 13 - May 2,3 out of 120,0 Waiting
26,17658,C S,3323,1,Princ-Programming Languages,"Cheng, Qi",Jan 13 - May 2,7 out of 120,0 Waiting
27,48184,C S,3440,2,Mentored Research Experience,"Ebert, David",Jan 13 - May 9,4 out of 5,No Wait List
28,48206,C S,3440,5,Mentored Research Experience,"Pan, Chongle",Jan 13 - May 9,4 out of 5,No Wait List
29,46412,C S,3440,6,Mentored Research Experience,"Diochnos, Dimitrios",Jan 13 - May 9,5 out of 5,No Wait List
30,46704,C S,3440,7,Mentored Research Experience,"Zhao, Shangqing",Jan 13 - May 9,4 out of 5,No Wait List
31,38030,C S,3440,8,Mentored Research Experience,"Cao, Jie",Jan 13 - May 9,5 out of 5,No Wait List
32,46740,C S,3440,10,Mentored Research Experience,"Gruenwald, Gia-Loi",Jan 13 - May 9,4 out of 5,No Wait List
33,44780,C S,3440,13,Mentored Research Experience,"Maiti, Anindya",Jan 13 - May 9,1 out of 5,No Wait List
34,45005,C S,3440,14,Mentored Research Experience,"Lan, Chao",Jan 13 - May 9,5 out of 5,No Wait List
35,44952,C S,3440,16,Mentored Research Experience,"Habibi, Golnaz",Jan 13 - May 9,3 out of 5,No Wait List
36,46557,C S,3440,18,Mentored Research Experience,"Fagg, Andrew",Jan 13 - May 9,5 out of 5,No Wait List
37,44873,C S,3440,21,Mentored Research Experience,"Quadri, Ghulam",Jan 13 - May 9,5 out of 5,No Wait List
38,43546,C S,3440,22,Mentored Research Experience,"Khanmohammadi, Sina",Jan 13 - May 9,4 out of 5,No Wait List
39,47700,C S,3440,24,Mentored Research Experience,"Demirel, Doga",Jan 13 - May 9,1 out of 5,No Wait List
40,47701,C S,3440,25,Mentored Research Experience,"Lin, Beiyu",Jan 13 - May 9,4 out of 5,No Wait List
41,48253,C S,3440,97,Mentored Research Experience,"Cheng, Szeming",Jan 13 - May 9,2 out of 5,No Wait List
42,39950,C S,3823,2,Theory of Computation,"Grimley, Lauren E.",Jan 13 - May 2,60 out of 120,0 Waiting
43,17725,C S,3960,2,Honors Reading (HONORS),"Ebert, David",Jan 13 - May 9,3 out of 3,No Wait List
44,17727,C S,3960,3,Honors Reading (HONORS),"Trytten, Deborah",Jan 13 - May 9,3 out of 3,No Wait List
45,17728,C S,3960,4,Honors Reading (HONORS),"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
46,17729,C S,3960,5,Honors Reading (HONORS),"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
47,17731,C S,3960,6,Honors Reading (HONORS),"Diochnos, Dimitrios",Jan 13 - May 9,3 out of 3,No Wait List
48,17732,C S,3960,7,Honors Reading (HONORS),"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
49,17734,C S,3960,8,Honors Reading (HONORS),"Cao, Jie",Jan 13 - May 9,3 out of 3,No Wait List
50,17735,C S,3960,9,Honors Reading (HONORS),"Radhakrishnan, Sridhar",Jan 13 - May 9,3 out of 3,No Wait List
51,17736,C S,3960,10,Honors Reading (HONORS),"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
52,17737,C S,3960,12,Honors Reading (HONORS),"Fang, Song",Jan 13 - May 9,3 out of 3,No Wait List
53,17738,C S,3960,13,Honors Reading (HONORS),"Maiti, Anindya",Jan 13 - May 9,3 out of 3,No Wait List
54,17739,C S,3960,15,Honors Reading (HONORS),"Cheng, Qi",Jan 13 - May 9,3 out of 3,No Wait List
55,17740,C S,3960,16,Honors Reading (HONORS),"Habibi, Golnaz",Jan 13 - May 9,3 out of 3,No Wait List
56,17741,C S,3960,17,Honors Reading (HONORS),"Weaver, Christopher",Jan 13 - May 9,3 out of 3,No Wait List
57,17742,C S,3960,18,Honors Reading (HONORS),"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
58,17749,C S,3980,2,Honors Research (HONORS),"Ebert, David",Jan 13 - May 9,2 out of 3,No Wait List
59,17750,C S,3980,3,Honors Research (HONORS),"Trytten, Deborah",Jan 13 - May 9,3 out of 3,No Wait List
60,17751,C S,3980,4,Honors Research (HONORS),"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
61,17754,C S,3980,5,Honors Research (HONORS),"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
62,17756,C S,3980,6,Honors Research (HONORS),"Diochnos, Dimitrios",Jan 13 - May 9,2 out of 3,No Wait List
63,17758,C S,3980,7,Honors Research (HONORS),"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
64,17760,C S,3980,8,Honors Research (HONORS),"Cao, Jie",Jan 13 - May 9,2 out of 3,No Wait List
65,17761,C S,3980,9,Honors Research (HONORS),"Radhakrishnan, Sridhar",Jan 13 - May 9,3 out of 3,No Wait List
66,17763,C S,3980,10,Honors Research (HONORS),"Gruenwald, Gia-Loi",Jan 13 - May 9,3 out of 3,No Wait List
67,17765,C S,3980,12,Honors Research (HONORS),"Fang, Song",Jan 13 - May 9,3 out of 3,No Wait List
68,17767,C S,3980,13,Honors Research (HONORS),"Maiti, Anindya",Jan 13 - May 9,3 out of 3,No Wait List
69,43462,C S,3980,14,Honors Research (HONORS),"Lan, Chao",Jan 13 - May 9,2 out of 3,No Wait List
70,17769,C S,3980,15,Honors Research (HONORS),"Cheng, Qi",Jan 13 - May 9,3 out of 3,No Wait List
71,17773,C S,3980,17,Honors Research (HONORS),"Weaver, Christopher",Jan 13 - May 9,2 out of 3,No Wait List
72,17776,C S,3980,18,Honors Research (HONORS),"Fagg, Andrew",Jan 13 - May 9,3 out of 3,No Wait List
73,17777,C S,3980,19,Honors Research (HONORS),"McGovern, Amy",Jan 13 - May 9,3 out of 3,No Wait List
74,37488,C S,3980,20,Honors Research (HONORS),"Habibi, Golnaz",Jan 13 - May 9,3 out of 3,No Wait List
75,41269,C S,3980,21,Honors Research (HONORS),"Quadri, Ghulam",Jan 13 - May 9,3 out of 3,No Wait List
76,43039,C S,3980,22,Honors Research (HONORS),"Khanmohammadi, Sina",Jan 13 - May 9,3 out of 3,No Wait List
77,17771,C S,3980,23,Honors Research (HONORS),"Veras, Richard",Jan 13 - May 9,3 out of 3,No Wait List
78,25390,C S,4013,1,Artificial Intelligence,"Habibi, Golnaz",Jan 13 - May 2,2 out of 90,0 Waiting
79,42028,C S,4033,1,Machine Learning Fundamentals,"Diochnos, Dimitrios",Jan 13 - May 2,2 out of 20,0 Waiting
80,47837,C S,4033,2,Machine Learning Fundamentals,"Lin, Beiyu",Jan 13 - May 2,2 out of 20,0 Waiting
81,34076,C S,4053,1,Computer Graphics,"Weaver, Christopher",Jan 13 - May 2,10 out of 50,0 Waiting
82,40529,C S,4063,1,Human Computer Interaction,"Quadri, Ghulam",Jan 13 - May 2,1 out of 90,0 Waiting
83,42026,C S,4173,1,Computer Security,"Zhao, Shangqing",Jan 13 - May 2,6 out of 120,0 Waiting
84,17678,C S,G4273,1,Capstone Design Project,"Abdulhak, Mansoor",Jan 13 - May 2,15 out of 120,0 Waiting
85,27777,C S,G4323,1,Compiler Construction,"Veras, Richard",Jan 13 - May 2,6 out of 67,0 Waiting
86,46496,C S,4410,1,Programming Competition,"Fagg, Andrew",Jan 13 - May 2,20 out of 20,0 Waiting
87,37277,C S,G4413,995,Algorithm Analysis,"Lakshmivarahan, S",Jan 13 - May 2,7 out of 200,0 Waiting
88,42228,C S,4433,1,Linear Optimization,"Khanmohammadi, Sina",Jan 13 - May 2,1 out of 22,0 Waiting
89,36419,C S,4473,1,PDN Programming,"Pan, Chongle",Jan 13 - May 2,3 out of 80,0 Waiting
90,17691,C S,G4613,1,Computer Architecture,"Barnes Jr, Ronald",Jan 13 - May 2,2 out of 71,0 Waiting
91,17781,C S,4910,2,Senior Reading and Research,"Ebert, David",Jan 13 - May 9,3 out of 3,No Wait List
92,17782,C S,4910,3,Senior Reading and Research,"Trytten, Deborah",Jan 13 - May 9,3 out of 3,No Wait List
93,17783,C S,4910,4,Senior Reading and Research,"Atiquzzaman, Mohammed",Jan 13 - May 9,3 out of 3,No Wait List
94,17784,C S,4910,5,Senior Reading and Research,"Pan, Chongle",Jan 13 - May 9,3 out of 3,No Wait List
95,17785,C S,4910,6,Senior Reading and Research,"Diochnos, Dimitrios",Jan 13 - May 9,3 out of 3,No Wait List
96,17786,C S,4910,7,Senior Reading and Research,"Zhao, Shangqing",Jan 13 - May 9,3 out of 3,No Wait List
97,17787,C S,4910,8,Senior Reading and Research,"Quadri, Ghulam",Jan 13 - May 9,2 out of 3,No Wait List
98,17788,C S,4910,9,Senior Reading and Research,"Radhakrishnan, Sridhar",Jan 13 - May 9,3 out of 3,No Wait List
