,crn,subject,course,section,title,instructor,dates,seats,waitlist
1,29144,MATH,1473,1,Math for Critical Thinking,"Gallage, Roshini S.",Jan 13 - May 2,16 out of 40,0 Waiting
2,44852,MATH,1473,3,Math for Critical Thinking,"Pankau, Joshua",Jan 13 - May 2,8 out of 25,0 Waiting
3,44413,MATH,1501,500,College Algebra Corequisite,"Watson-Wilkes, Haleigh",Jan 13 - May 2,2 out of 30,No Wait List
4,35871,MATH,1503,2,College Algebra,"Boye, Emelia",Jan 13 - May 2,1 out of 30,0 Waiting
5,20215,MATH,1503,3,College Algebra,"Ramakrishnan Cherukara, Siddharth",Jan 13 - May 2,3 out of 30,0 Waiting
6,46129,MATH,1503,5,College Algebra,"Taylor, Ashley",Jan 13 - May 2,4 out of 90,0 Waiting
7,20224,MATH,1503,9,College Algebra,"Singh, Subham",Jan 13 - May 2,3 out of 30,0 Waiting
8,43410,MATH,1503,10,College Algebra,"Maeder, Martha",Jan 13 - May 2,7 out of 32,0 Waiting
9,44373,MATH,1503,11,College Algebra,"Wright, Rachel",Jan 13 - May 2,4 out of 40,0 Waiting
10,44374,MATH,1503,12,College Algebra,"Valencia Arevalo, Maria del Rosario",Jan 13 - May 2,1 out of 30,0 Waiting
11,44375,MATH,1503,13,College Algebra,"Brown, Michael",Jan 13 - May 2,1 out of 30,0 Waiting
12,44415,MATH,1503,500,College Algebra,"Watson-Wilkes, Haleigh",Jan 13 - May 2,2 out of 30,0 Waiting
13,47903,MATH,1503,700,College Algebra,"Chapman, Carye",Jan 13 - May 2,20 out of 30,No Wait List
14,37375,MATH,1503,701,College Algebra,"Chapman, Carye",Jan 13 - May 2,16 out of 30,0 Waiting
15,20376,MATH,1523,3,Precalculus and Trigonometry,"Carlson, Martin",Jan 13 - May 2,1 out of 32,0 Waiting
16,35874,MATH,1523,4,Precalculus and Trigonometry,"Judkins, Caleb",Jan 13 - May 2,1 out of 32,0 Waiting
17,35876,MATH,1523,6,Precalculus and Trigonometry,"Asaad, Malva",Jan 13 - May 2,2 out of 35,0 Waiting
18,20384,MATH,1523,7,Precalculus and Trigonometry,"Martinez, Dakotah",Jan 13 - May 2,1 out of 32,0 Waiting
19,44377,MATH,1523,8,Precalculus and Trigonometry,"Ramsey, James",Jan 13 - May 2,3 out of 32,0 Waiting
20,44378,MATH,1523,9,Precalculus and Trigonometry,"Gupta, Amogh",Jan 13 - May 2,1 out of 32,0 Waiting
21,44420,MATH,1641,500,Functions and Modeling Coreq,"Watson-Wilkes, Haleigh",Jan 13 - May 2,2 out of 30,No Wait List
22,20387,MATH,1643,1,Functn/Model Bus/Life/Soc Sci,"Gallage, Roshini S.",Jan 13 - May 2,11 out of 100,0 Waiting
23,46130,MATH,1643,3,Functn/Model Bus/Life/Soc Sci,"Chapman, Carye",Jan 13 - May 2,4 out of 40,0 Waiting
24,20393,MATH,1643,4,Functn/Model Bus/Life/Soc Sci,"Leiphart, Nathan",Jan 13 - May 2,1 out of 35,0 Waiting
25,20394,MATH,1643,5,Functn/Model Bus/Life/Soc Sci,"Carlson, Martin",Jan 13 - May 2,1 out of 32,0 Waiting
26,35878,MATH,1643,8,Functn/Model Bus/Life/Soc Sci,"Montes de Oca Osornio, Rodolfo",Jan 13 - May 2,1 out of 35,0 Waiting
27,35879,MATH,1643,9,Functn/Model Bus/Life/Soc Sci,"Lozano, Jose",Jan 13 - May 2,6 out of 68,0 Waiting
28,35880,MATH,1643,10,Functn/Model Bus/Life/Soc Sci,"Gaskins, Dustin",Jan 13 - May 2,1 out of 38,0 Waiting
29,39734,MATH,1643,11,Functn/Model Bus/Life/Soc Sci,"Strech, Zachary",Jan 13 - May 2,1 out of 35,0 Waiting
30,20396,MATH,1643,12,Functn/Model Bus/Life/Soc Sci,"Sapkota, Nirjal",Jan 13 - May 2,2 out of 32,0 Waiting
31,46131,MATH,1643,13,Functn/Model Bus/Life/Soc Sci,"Watson-Wilkes, Haleigh",Jan 13 - May 2,3 out of 40,0 Waiting
32,44419,MATH,1643,500,Functn/Model Bus/Life/Soc Sci,"Watson-Wilkes, Haleigh",Jan 13 - May 2,2 out of 30,0 Waiting
33,46188,MATH,1643,701,Functn/Model Bus/Life/Soc Sci,"Chapman, Carye",Jan 13 - May 2,20 out of 30,No Wait List
34,20401,MATH,1743,1,"Calculus I-Bus, Life, Soc Sci","Lee, Jonathan",Jan 13 - May 2,4 out of 200,0 Waiting
35,20403,MATH,1743,2,"Calculus I-Bus, Life, Soc Sci","Tinsley, Christine",Jan 13 - May 2,7 out of 200,0 Waiting
36,35883,MATH,1743,4,"Calculus I-Bus, Life, Soc Sci","Sapkota, Nirjal",Jan 13 - May 2,2 out of 60,0 Waiting
37,36070,MATH,1743,5,"Calculus I-Bus, Life, Soc Sci","Markmiller, Samuel",Jan 13 - May 2,2 out of 30,0 Waiting
38,20416,MATH,1743,6,"Calculus I-Bus, Life, Soc Sci","Roy, Arghadeep",Jan 13 - May 2,7 out of 30,0 Waiting
39,35884,MATH,1743,7,"Calculus I-Bus, Life, Soc Sci","Barksdale, Gary",Jan 13 - May 2,15 out of 120,0 Waiting
40,44380,MATH,1743,8,"Calculus I-Bus, Life, Soc Sci","Isu, Jeremiah",Jan 13 - May 2,4 out of 30,0 Waiting
41,44381,MATH,1743,9,"Calculus I-Bus, Life, Soc Sci","Loya Chavira, Javier",Jan 13 - May 2,1 out of 30,0 Waiting
42,44382,MATH,1743,10,"Calculus I-Bus, Life, Soc Sci","Santra, Sayantan",Jan 13 - May 2,11 out of 30,0 Waiting
43,46135,MATH,1743,11,"Calculus I-Bus, Life, Soc Sci","Zhou, Yunchuan",Jan 13 - May 2,5 out of 30,0 Waiting
44,44384,MATH,1743,12,"Calculus I-Bus, Life, Soc Sci","Restoy Berganza, Samuel",Jan 13 - May 2,6 out of 30,0 Waiting
45,46132,MATH,1743,13,"Calculus I-Bus, Life, Soc Sci","Raut, Subha",Jan 13 - May 2,5 out of 30,0 Waiting
46,46133,MATH,1743,14,"Calculus I-Bus, Life, Soc Sci","Halder, Sajal",Jan 13 - May 2,1 out of 30,0 Waiting
47,46134,MATH,1743,15,"Calculus I-Bus, Life, Soc Sci","Martinez, Dakotah",Jan 13 - May 2,2 out of 30,0 Waiting
48,33522,MATH,1823,2,Calculus & Analyt Geometry I,"Wright, Rachel",Jan 13 - May 2,2 out of 40,0 Waiting
49,33523,MATH,1823,3,Calculus & Analyt Geometry I,"Tran, Bach",Jan 13 - May 2,1 out of 36,0 Waiting
50,35885,MATH,1823,4,Calculus & Analyt Geometry I,"Mikulo, Anna",Jan 13 - May 2,1 out of 36,0 Waiting
51,42676,MATH,1823,10,Calculus & Analyt Geometry I,"Przebinda, Tomasz",Jan 13 - May 2,21 out of 142,No Wait List
52,20434,MATH,1823,11,Disc-MATH 1823-010,"Islam, Kazi Sabrina",Jan 13 - May 2,1 out of 24,0 Waiting
53,20436,MATH,1823,13,Disc-MATH 1823-010,"Smith, Lucas",Jan 13 - May 2,4 out of 22,0 Waiting
54,20454,MATH,1823,15,Disc-MATH 1823-010,"Lin, Steven",Jan 13 - May 2,7 out of 24,0 Waiting
55,20455,MATH,1823,16,Disc-MATH 1823-010,"Lin, Steven",Jan 13 - May 2,8 out of 24,0 Waiting
56,20481,MATH,2123,4,"Calculus II-Bus, Life, Soc Sci","Berger, Ashley",Jan 13 - May 2,17 out of 50,0 Waiting
57,20497,MATH,2213,2,Mathematical Systems,"Roberts, Jenice",Jan 13 - May 2,1 out of 32,0 Waiting
58,35887,MATH,2423,3,Calculus & Analyt Geometry II,"Asaad, Malva",Jan 13 - May 2,2 out of 40,0 Waiting
59,20509,MATH,2423,10,Calculus & Analyt Geometry II,"Jablonski, Michael",Jan 13 - May 2,7 out of 157,No Wait List
60,20517,MATH,2423,11,Disc-MATH 2423-010,"Rajaei, Reza",Jan 13 - May 2,1 out of 25,0 Waiting
61,20513,MATH,2423,12,Disc-MATH 2423-010,"Choudhury, Samhita",Jan 13 - May 2,1 out of 24,0 Waiting
62,20515,MATH,2423,13,Disc-MATH 2423-010,"Gonuldes, Ahmet",Jan 13 - May 2,2 out of 27,0 Waiting
